Model,Epoch,Train Loss,Train Acc,Val Loss,Val Acc
resnet18,0,0.03327722018718719,0.06728,0.030284703397750856,0.1304
resnet18,1,0.02907221776485443,0.14022,0.027586795234680175,0.1857
resnet18,2,0.02713765404701233,0.17892,0.026040299820899962,0.2195
resnet18,3,0.025846997270584107,0.20806,0.024890033411979675,0.2412
resnet18,4,0.024804211053848266,0.23172,0.02398507046699524,0.2601
resnet18,5,0.023874457268714906,0.2516,0.02322947051525116,0.2787
resnet18,6,0.02302650104522705,0.271,0.022574825382232665,0.2934
resnet18,7,0.022337259249687196,0.28782,0.02186951084136963,0.3108
resnet18,8,0.02165962909221649,0.30606,0.021366334462165834,0.3193
resnet18,9,0.021048043117523195,0.31756,0.02089770414829254,0.331
resnet18,10,0.020459740204811096,0.33372,0.02048741912841797,0.3402
resnet18,11,0.019986267876625063,0.34558,0.020064464902877808,0.354
resnet18,12,0.019532020597457886,0.35766,0.019801360201835632,0.3613
resnet18,13,0.019132677383422853,0.36912,0.01951531889438629,0.3721
resnet18,14,0.018702377943992616,0.38134,0.019307476210594178,0.3765
resnet18,15,0.018254588513374328,0.39256,0.01912342417240143,0.38
resnet18,16,0.0179968305683136,0.40016,0.01879355969429016,0.3882
resnet18,17,0.017611760225296022,0.41146,0.018590732717514036,0.3966
resnet18,18,0.01728723953485489,0.4193,0.018480110096931457,0.3977
resnet18,19,0.016919592885971068,0.4317,0.018284189987182616,0.4042
resnet18,20,0.016578674895763396,0.43926,0.018382479906082154,0.4003
resnet18,21,0.016330421299934388,0.45016,0.018137998831272126,0.4135
resnet18,22,0.016005157022476197,0.4574,0.017959582436084746,0.4151
resnet18,23,0.015754300682544707,0.46212,0.01790130833387375,0.4116
resnet18,24,0.015367871313095093,0.475,0.01774167239665985,0.4205
resnet18,25,0.015110199415683746,0.48432,0.017624208056926726,0.4264
resnet18,26,0.014830324754714967,0.49006,0.017554330825805663,0.4263
resnet18,27,0.014658066992759705,0.4959,0.01752869486808777,0.4265
resnet18,28,0.014229335906505585,0.51094,0.017406250870227815,0.4273
resnet18,29,0.014036276366710662,0.51242,0.017293284130096436,0.4302
resnet18,30,0.013790012123584747,0.52236,0.017215274846553802,0.4364
resnet18,31,0.013527177424430848,0.53024,0.01718517209291458,0.439
resnet18,32,0.01324329391002655,0.53934,0.017149284648895265,0.4357
resnet18,33,0.012992739107608795,0.54604,0.017064792919158935,0.4449
resnet18,34,0.012729597141742707,0.55666,0.017140057730674743,0.4453
resnet18,35,0.01248702911376953,0.5645,0.017151221525669096,0.4401
resnet18,36,0.012271272890567779,0.56992,0.017110142242908476,0.445
resnet18,37,0.012104084327220916,0.57484,0.01703863456249237,0.444
resnet18,38,0.011864681777954102,0.58228,0.017036073231697084,0.4471
resnet18,39,0.011667238726615906,0.58994,0.017062883841991425,0.4461
resnet18,40,0.011374492151737213,0.59628,0.01702215871810913,0.4528
resnet18,41,0.01118941365480423,0.60446,0.01702930291891098,0.4505
resnet18,42,0.011009584403038024,0.61056,0.017024734580516815,0.4476
resnet18,43,0.01077795692205429,0.61618,0.01712433694601059,0.4475
resnet18,44,0.01054014131784439,0.62516,0.017035103976726532,0.4493
resnet18,45,0.01035597306251526,0.63082,0.017110093104839325,0.4508
resnet18,46,0.010106365327835083,0.63834,0.017099061000347138,0.454
resnet18,47,0.00996726831316948,0.64346,0.017122277474403383,0.4543
resnet18,48,0.00973617087841034,0.6514,0.01726286768913269,0.452
resnet18,49,0.009543958686590194,0.65714,0.01718868091106415,0.4576
resnet34,0,0.03429875319004059,0.05122,0.031358859324455264,0.1049
resnet34,1,0.030326285433769227,0.11248,0.02881639029979706,0.1486
resnet34,2,0.028456865978240965,0.14914,0.027192811036109925,0.1901
resnet34,3,0.027128995356559753,0.17588,0.026112381052970885,0.2082
resnet34,4,0.02608556842803955,0.19618,0.02516849534511566,0.2267
resnet34,5,0.025180765509605407,0.21566,0.024488797998428343,0.2506
resnet34,6,0.024417275638580323,0.2342,0.023853390383720398,0.2604
resnet34,7,0.023700761976242067,0.25124,0.02319908130168915,0.2769
resnet34,8,0.023109315614700317,0.264,0.022749449896812438,0.2857
resnet34,9,0.022474943046569825,0.2812,0.022165972685813905,0.2988
resnet34,10,0.021869009203910827,0.29614,0.021810722517967226,0.3106
resnet34,11,0.02132316874027252,0.30908,0.021286932826042174,0.3216
resnet34,12,0.020835249943733217,0.32102,0.02092414140701294,0.3303
resnet34,13,0.020263353905677794,0.33762,0.020533892178535462,0.3418
resnet34,14,0.0197530518245697,0.34766,0.020165071153640746,0.3503
resnet34,15,0.019360032653808593,0.3598,0.01998833668231964,0.358
resnet34,16,0.01890132219314575,0.37138,0.01952264723777771,0.3663
resnet34,17,0.018505538923740388,0.38214,0.01945603835582733,0.3671
resnet34,18,0.018071917147636413,0.39396,0.019240602040290832,0.3744
resnet34,19,0.01765721697330475,0.40426,0.01901742205619812,0.3865
resnet34,20,0.017320323593616484,0.41584,0.018852693152427675,0.3858
resnet34,21,0.016887480075359344,0.42624,0.01863227491378784,0.3901
resnet34,22,0.016552105281352997,0.43836,0.01857652554512024,0.3956
resnet34,23,0.01621663821935654,0.4462,0.0183564022064209,0.4017
resnet34,24,0.015895867824554443,0.45498,0.018245461905002595,0.3969
resnet34,25,0.015551040513515472,0.4666,0.018196653354167938,0.4067
resnet34,26,0.015249532775878906,0.47154,0.017983299672603606,0.415
resnet34,27,0.014950581040382386,0.48034,0.018045407581329345,0.4135
resnet34,28,0.014677526080608369,0.49142,0.017895343720912935,0.4153
resnet34,29,0.014292337431907654,0.50276,0.01790165638923645,0.4176
resnet34,30,0.013965308618545532,0.51254,0.017750377106666566,0.4201
resnet34,31,0.013666723742485046,0.5222,0.017875733602046966,0.4231
resnet34,32,0.013374949414730072,0.53006,0.017731568050384523,0.4277
resnet34,33,0.013093371438980102,0.54068,0.017665911877155303,0.427
resnet34,34,0.012710678145885468,0.55302,0.017827733528614043,0.4238
resnet34,35,0.012489575514793396,0.55562,0.017669717645645143,0.43
resnet34,36,0.012235325124263764,0.56678,0.017795467686653136,0.4315
resnet34,37,0.011980935842990875,0.57356,0.017675788187980653,0.4311
resnet34,38,0.011741149096488953,0.5802,0.01767101194858551,0.4354
resnet34,39,0.011472115099430084,0.5891,0.017767451429367066,0.4317
resnet34,40,0.011108652694225311,0.60028,0.017694665479660036,0.4334
resnet34,41,0.01085647736787796,0.60764,0.017842057085037232,0.4338
resnet34,42,0.010607060358524323,0.61766,0.01780790408849716,0.4399
resnet34,43,0.010348888294696807,0.62666,0.017941710782051087,0.4358
resnet34,44,0.01007828990340233,0.63374,0.017760833775997163,0.4398
resnet34,45,0.009841733149290086,0.64268,0.01794162174463272,0.4403
resnet34,46,0.009558149962425232,0.65412,0.01805622465610504,0.444
resnet34,47,0.009341930977106094,0.65816,0.018093985509872436,0.4435
resnet34,48,0.009020849777460099,0.67006,0.018311927771568298,0.4353
resnet34,49,0.008780143287181854,0.67966,0.01832614117860794,0.4411
resnet50,0,0.03635887284278869,0.01938,0.03563592958450317,0.0326
resnet50,1,0.03450852142333984,0.03904,0.03355550198554993,0.0549
resnet50,2,0.032879722561836244,0.05932,0.0321633241891861,0.0742
resnet50,3,0.03179002785682678,0.07362,0.031176164197921755,0.0919
resnet50,4,0.03099064974784851,0.09036,0.030337168765068055,0.1137
resnet50,5,0.030295017237663268,0.10242,0.02969563090801239,0.1251
resnet50,6,0.02965448600292206,0.1153,0.029087326431274416,0.1428
resnet50,7,0.02901118793964386,0.13028,0.02848031396865845,0.1513
resnet50,8,0.028446916422843933,0.14136,0.027918266534805298,0.1635
resnet50,9,0.027882786021232606,0.15288,0.027384547448158263,0.1725
resnet50,10,0.027332262535095214,0.16692,0.026925245141983033,0.1856
resnet50,11,0.026798267388343813,0.17828,0.026234575653076173,0.2037
resnet50,12,0.02630024793148041,0.18784,0.02583114788532257,0.2094
resnet50,13,0.025839548811912538,0.20002,0.025464340043067933,0.2193
resnet50,14,0.025383534760475158,0.20806,0.024985175824165345,0.2256
resnet50,15,0.024892142567634584,0.22038,0.024455888509750365,0.2412
resnet50,16,0.024468826656341553,0.22932,0.024271914935112,0.2443
resnet50,17,0.024014686694145203,0.23984,0.02389247694015503,0.2531
resnet50,18,0.023594722394943236,0.25172,0.02357550892829895,0.2672
resnet50,19,0.023166204419136048,0.26002,0.02322383167743683,0.2705
resnet50,20,0.02274942385196686,0.27076,0.023033821392059325,0.2768
resnet50,21,0.02233359405040741,0.2793,0.022700378036499023,0.2891
resnet50,22,0.02194440574645996,0.28832,0.022600941705703734,0.2891
resnet50,23,0.02157620276927948,0.29916,0.022162220001220704,0.3022
resnet50,24,0.02113461488723755,0.3096,0.02204594497680664,0.3063
resnet50,25,0.02077391766548157,0.31852,0.021739313101768493,0.3111
resnet50,26,0.020388386807441712,0.33056,0.021591788482666015,0.3193
resnet50,27,0.019991379356384276,0.33876,0.02129943642616272,0.3266
